,Date,Original_Tweet,Clean_Tweet,Sentiment
856,2020-06-11,RT @tribelaw: Trump’s bizarre promotion of hydrochloroquine as a way to stave off Covid-19 is worse than crazy. It’s demonstrably dangerous…,trump bizarr promot hydrochloroquin way stave covid19 wors crazi demonstr danger,0.7515970075267486
857,2020-06-11,"The @EU_Commission is expected to launch a 2nd special call named ""Expression of Interest for #research and innovat… https://t.co/U4nnDGa06C",eect launch nd special call name eress interest innovat,0.762684452524932
858,2020-06-11,RT @LuckyHeronSay: Leader of Leeds City Council @cllrjudithblake on #r4today explained why Leeds will NOT be forcing all schools to open on…,leader leed citi council elain leed forc school open,0.2652433402550698
859,2020-06-11,"RT @NHSEnglandLDN: This week the government issued updated advice on #coronavirus symptoms.

Self-isolate if you develop:
➡️ a new continuo…",week govern issu updat advic symptom self isol develop new continuo,0.22277841645126148
860,2020-06-11,RT @RandPaul: Lives that will be lost to the government-mandated economic shutdown need to be acknowledged by Governor Beshear and other po…,life lost govern mandat econom shutdown need acknowledg governor beshear po,0.6484366934266438
861,2020-06-11,"RT @Alaba589: Immediately school start Boom 💥 Come see Assignments 
😂😂😂😂😂

Izza Thread..

English teacher: Write an essay on Corona virus🙆…",immedi school start boom come see assign izza thread english teacher write essay corona viru,0.246324576164028
862,2020-06-11,Hey folks! Be a superhero by participating this event. This event is happening for good cause to get rid of COVID-1… https://t.co/ceoHLO3Urf,hey folk superhero particip event event happen good caus get rid covid19,0.21037658372652351
863,2020-06-11,"RT @ulybog: COVID-19 Pandemic response - who did it better. 

Like for Duterte
Retweet for Robredo https://t.co/qE6hXhj1nE",covid19 pandem respons better like dutert retweet robredo,0.7603683249122037
864,2020-06-11,"RT @Reuters: COVID-19 has halted anti-government protests, but tensions are simmering in Hong Kong. Lawyer and author @antd explains to @ma…",covid19 halt anti govern protest tension simmer hong kong lawyer author elain,0.7422166119279908
865,2020-06-11,"RT @LuckyHeronSay: When should schools reopen? 

On June the 1st? 

Or 

When Teachers, Unions and parents have the evidence to be confiden…",school reopen june st teacher union parent evid confiden,0.23524285346185575
866,2020-06-11,RT @JTrentkemp1: Texas doctor Ivette Lozano PRAISES  President Trump for his advice on how to treat covid - 19 patients. DUE TO THE ADVICE…,texa doctor ivett lozano prais presid trump advic treat covid19 patient due advic,0.24365247473634283
867,2020-06-11,"RT @latimes: ""When asked how to support healthcare workers fighting COVID-19, I answer simply: Reach out. A simple just 'checking in' text…",ask support healthcar worker fight covid19 answer simpli reach simpl check text,0.23247530629480567
868,2020-06-11,@YetiEye It has no support for covid-19,support covid19,0.7520354296233038
869,2020-06-11,RT @USAembassyinOZ: “We commend Australia’s leadership in achieving a much-needed investigation into COVID-19 origins to keep people safe a…,commend australia leadership achiev much need investig covid19 origin keep peopl safe,0.7646593981345067
870,2020-06-12,RT @Johnrashton47: 🦠Sweden had most COVID-19 deaths per capita in Europe over last week: report | TheHill https://t.co/RNm2Dc87Ge,sweden covid19 death per caput europ last week report thehil,0.7106789659335419
871,2020-06-12,"RT @AOC: Great news!

You can now get a COVID test for FREE at any CityMD in NYC.

Uninsured? No problem.
No appointment? Walk in!

This is…",great news get covid19 test free citymd nyc uninsur problem appoint walk,0.6958227509992747
872,2020-06-12,"EBC is helping COVID-19 front liners, homeless people and communities affected  by giving them food.❤️

It’s very i… https://t.co/P5EDRgyyuw",ebc help covid19 front liner homeless peopl commun affect give food,0.25174972717466093
873,2020-06-12,"RT @COVID_19_ZA: ""The truth is that there is no blueprint on how to manage the #Covid_19 pandemic, when or how to implement lockdowns, or w…",truth blueprint manag pandem implement lockdown ,0.6400102639798613
874,2020-06-12,"With this pandemic going on, i feel like sometimes we are in the world of dance revolution. too many arrows to follow 🤣🤣🤣 #Covid_19",pandem go feel like sometim world danc revolut mani arrow follow,0.26653091740124296
875,2020-06-12,"RT @ProjectVirginia: Another Democrat governor, another nursing home scandal.

And in Virginia we still don't know - Northam refuses to ans…",anoth democrat governor anoth nurs home scandal virginia still know northam refus an,0.6586652806303969
876,2020-06-12,"RT @HCLeaderNews: How virtual group meetings with the community during Covid-19 have helped reassure patients @DrRupaJoshi1
https://t.co/Zw…",virtual group meet commun covid19 help reassur patient,0.7362430394779353
877,2020-06-12,"RT @KhayaJames: I once had an assignment in Tembisa Hospital and Prof. Anton Stoltz, one of the top infectious diseases experts was a guest…",assign tembisa hospit prof anton stoltz one top infecti diseas eert guest,0.7187334233549756
878,2020-06-12,Another huge THANK YOU to a North charity - North East &amp; North Cumbria Suicide Prevention Network - Grassroots Fund… https://t.co/EAbgM5GJ0R,anoth huge thank north chariti north east north cumbria suicid prevent network grassroot fund,0.736595039843103
879,2020-06-12,RT @whatifisaidit: Nearly 40 million are out of work but McConnell wants benefits to stop anyway https://t.co/pEqznmW9yy,nearli million work mcconnel want benefit stop anyway,0.7126242738955308
880,2020-06-12,"RT @KendrickLomarr: Interesting comments here detailing how Hong Kong hasn't registered a single death from Covid-19 in its care homes, whi…",interest comment detail hong kong regist singl death covid19 care home whi,0.25776345362047076
881,2020-06-12,"RT @FLEarlyLearning: For more information click the link below: 
https://t.co/EyzWepQPxQ https://t.co/bCV34k3BWK",inform click link,0.6406108006601458
882,2020-06-12,"RT @Okwonga: Trevor Belle, a 61-year old taxi driver in London, died from COVID-19 a few days after a passenger who told him he had the vir…",trevor bell year old taxi driver london die covid19 day passeng told vir,0.7361042180194874
883,2020-06-12,RT @ReutersUK: Nobel winner attacks lack of British leadership through COVID-19 https://t.co/DDbPIGngT1 https://t.co/q0FBguqF9s,nobel winner attack lack british leadership covid19,0.22884438121633335
884,2020-06-12,"RT @bbglpc: @TheGPhC solution doesn't help pre-reg's in the independent sector, what are they to do after 52 weeks? @NPA1921 @PSNCNews @HEE…",solut help pre reg independ sector week,0.6594955184338616
885,2020-06-12,"RT @girleffect: Girls are telling us they are experiencing a high degree of anxiety about the pandemic &amp; its effects on them, their familie…",girl tell eerienc high degre anxieti pandem effect famili,0.3255886197417425
886,2020-06-12,"RT @satyakumar_y: 22 May : Covid Updates 

- 48,534 people cured of COVID-19

-66,330 people under active medical supervision

-3,334 patie…",may covid19 updat peopl cure covid19 peopl activ medic supervis pati,0.7254246790535873
887,2020-06-13,"Today, we gave over 500 care packages to feed families affected by the Covid-19 pandemic in Majengo area. To ensure… https://t.co/MOcH0AnZfu",today gave care packag feed famili affect covid19 pandem majengo area ensur,0.27856490343443346
888,2020-06-13,"RT @RealJamesWoods: The slippery slope starts here. The same way abortion was going to be “safe, legal, and rare.”  https://t.co/BA6LljIEy8",slipperi slope start way abort go safe legal rare,0.7253767832192927
889,2020-06-13,RT @AdamHen52065035: People in the UK don’t call it Covid-19. They just say “with all this shit going on”,peopl uk call covid19 say shit go,0.6514521603034709
890,2020-06-13,"RT @u4eakooks_net: pdogg on ig:
""SUGA's another ego/self AGUST D ""D-2"" MIXTAPE !! the album that he worked on at home because of the covid-…",pdogg ig suga anoth ego self agust mixtap album work home covid19,0.19892522555673336
