Word,Popularity,Probability
covid19,912,0.057974699637658125
case,122,0.007755387451528828
new,119,0.007564681202720742
peopl,118,0.007501112453118047
test,112,0.007119699955501876
death,86,0.005466912465831797
pandem,76,0.004831224969804844
day,71,0.004513381221791368
say,68,0.004322674972983281
health,67,0.004259106223380586
trump,65,0.004131968724175195
today,61,0.003877693725764414
die,59,0.0037505562265590237
work,55,0.0034962812281482424
patient,54,0.003432712478545547
help,53,0.0033691437289428516
one,49,0.0031148687305320704
go,49,0.0031148687305320704
home,49,0.0031148687305320704
report,48,0.003051299980929375
time,48,0.003051299980929375
may,48,0.003051299980929375
state,47,0.00298773123132668
take,47,0.00298773123132668
govern,47,0.00298773123132668
due,46,0.0029241624817239846
get,45,0.002860593732121289
like,43,0.0027334562329158984
worker,41,0.002606318733710508
week,40,0.0025427499841078126
need,40,0.0025427499841078126
use,39,0.002479181234505117
coronaviru,39,0.002479181234505117
posit,38,0.002415612484902422
world,37,0.0023520437352997268
news,35,0.002224906236094336
mani,34,0.0021613374864916405
infect,34,0.0021613374864916405
confirm,34,0.0021613374864916405
lockdown,34,0.0021613374864916405
support,33,0.0020977687368889456
doctor,33,0.0020977687368889456
nation,33,0.0020977687368889456
updat,33,0.0020977687368889456
hospit,32,0.00203419998728625
respons,32,0.00203419998728625
life,32,0.00203419998728625
care,31,0.0019706312376835547
look,31,0.0019706312376835547
would,31,0.0019706312376835547
commun,31,0.0019706312376835547
number,30,0.0019070624880808595
mask,29,0.0018434937384781641
make,29,0.0018434937384781641
call,28,0.001779924988875469
presid,28,0.001779924988875469
countri,28,0.001779924988875469
see,28,0.001779924988875469
person,27,0.0017163562392727735
china,27,0.0017163562392727735
know,27,0.0017163562392727735
want,27,0.0017163562392727735
american,27,0.0017163562392727735
year,26,0.001652787489670078
uk,26,0.001652787489670078
even,26,0.001652787489670078
citi,26,0.001652787489670078
nurs,26,0.001652787489670078
busi,25,0.001589218740067383
famili,25,0.001589218740067383
fight,25,0.001589218740067383
break,25,0.001589218740067383
crisi,25,0.001589218740067383
two,24,0.0015256499904646875
come,24,0.0015256499904646875
record,24,0.0015256499904646875
spread,24,0.0015256499904646875
th,24,0.0015256499904646875
pm,24,0.0015256499904646875
viru,23,0.0014620812408619923
protest,23,0.0014620812408619923
million,23,0.0014620812408619923
total,22,0.0013985124912592969
everi,22,0.0013985124912592969
pleas,22,0.0013985124912592969
safe,22,0.0013985124912592969
team,22,0.0013985124912592969
back,22,0.0013985124912592969
protect,21,0.0013349437416566017
cure,21,0.0013349437416566017
first,21,0.0013349437416566017
open,21,0.0013349437416566017
let,21,0.0013349437416566017
medium,21,0.0013349437416566017
announc,21,0.0013349437416566017
way,21,0.0013349437416566017
read,21,0.0013349437416566017
recov,21,0.0013349437416566017
live,21,0.0013349437416566017
last,20,0.0012713749920539063
still,20,0.0012713749920539063
said,20,0.0012713749920539063
impact,20,0.0012713749920539063
india,20,0.0012713749920539063
issu,20,0.0012713749920539063
child,20,0.0012713749920539063
rate,19,0.001207806242451211
research,19,0.001207806242451211
continu,19,0.001207806242451211
govt,19,0.001207806242451211
sinc,19,0.001207806242451211
show,19,0.001207806242451211
month,19,0.001207806242451211
global,19,0.001207806242451211
vaccin,19,0.001207806242451211
think,19,0.001207806242451211
kill,18,0.0011442374928485157
right,18,0.0011442374928485157
per,18,0.0011442374928485157
april,18,0.0011442374928485157
stay,18,0.0011442374928485157
via,18,0.0011442374928485157
measur,18,0.0011442374928485157
got,18,0.0011442374928485157
tri,18,0.0011442374928485157
also,17,0.0010806687432458203
social,17,0.0010806687432458203
fund,17,0.0010806687432458203
close,17,0.0010806687432458203
public,17,0.0010806687432458203
must,17,0.0010806687432458203
chang,17,0.0010806687432458203
good,17,0.0010806687432458203
anoth,17,0.0010806687432458203
effect,17,0.0010806687432458203
never,17,0.0010806687432458203
counti,17,0.0010806687432458203
keep,17,0.0010806687432458203
minist,17,0.0010806687432458203
wear,17,0.0010806687432458203
great,16,0.001017099993643125
could,16,0.001017099993643125
warn,16,0.001017099993643125
stori,16,0.001017099993643125
start,16,0.001017099993643125
thing,16,0.001017099993643125
rise,16,0.001017099993643125
student,16,0.001017099993643125
ask,16,0.001017099993643125
offici,15,0.0009535312440404298
woman,15,0.0009535312440404298
medic,15,0.0009535312440404298
flu,15,0.0009535312440404298
relief,15,0.0009535312440404298
food,15,0.0009535312440404298
staff,15,0.0009535312440404298
lost,15,0.0009535312440404298
caus,15,0.0009535312440404298
outbreak,15,0.0009535312440404298
contact,15,0.0009535312440404298
stop,15,0.0009535312440404298
increas,15,0.0009535312440404298
well,15,0.0009535312440404298
risk,15,0.0009535312440404298
hous,15,0.0009535312440404298
long,15,0.0009535312440404298
symptom,14,0.0008899624944377345
import,14,0.0008899624944377345
offer,14,0.0008899624944377345
next,14,0.0008899624944377345
without,14,0.0008899624944377345
servic,14,0.0008899624944377345
challeng,14,0.0008899624944377345
affect,14,0.0008899624944377345
member,14,0.0008899624944377345
forc,14,0.0008899624944377345
return,14,0.0008899624944377345
give,14,0.0008899624944377345
mean,14,0.0008899624944377345
much,14,0.0008899624944377345
hit,14,0.0008899624944377345
lot,14,0.0008899624944377345
america,14,0.0008899624944377345
inform,14,0.0008899624944377345
polic,13,0.000826393744835039
