Date,Avg_Pos_Sentiment,Avg_Neg_Sentiment
2020-04-19,0.2647466105082919,0.1653828185409196
2020-04-22,0.3611916743438483,0.13689043883908505
2020-04-23,0.310630465182723,0.14887673737303866
2020-04-24,0.4633074174264684,0.0858225648769789
2020-04-25,0.4003035904885948,0.12127272317570159
2020-04-26,0.3311492011128219,0.12093072796599046
2020-04-27,0.5042884517994937,0.0770553258300867
2020-04-28,0.2815758185060088,0.149188126445065
2020-04-29,0.42715628382772103,0.1047648002757134
2020-04-30,0.34253817229368066,0.13022910839008467
2020-05-01,0.5613666290374947,0.057490232716689196
2020-05-02,0.3124433466236465,0.1443405628163511
2020-05-03,0.36604516894509936,0.12268429776137917
2020-05-04,0.2554085471186848,0.16419842705717005
2020-05-05,0.2507787651784594,0.1653192822755348
2020-05-06,0.3159788859402383,0.14535545096592795
2020-05-07,0.48718665806178013,0.08466198295036441
2020-05-08,0.235530424026186,0.1604247368026568
2020-05-09,0.35800934586486305,0.13318199764789615
2020-05-10,0.3522775902182358,0.10457314514506846
2020-05-11,0.410214784588239,0.1138159000847857
2020-05-12,0.20056678376169662,0.1665856475607666
2020-05-13,0.23349331380912458,0.17189432922991088
2020-05-14,0.3307090372349194,0.14228039402260007
2020-05-15,0.5626403579230732,0.06990393410696359
2020-05-16,0.37605274332015554,0.10479096448908695
2020-05-17,0.31683493904374327,0.1447069713665254
2020-05-18,0.43036462630843486,0.10594354434765624
2020-05-19,0.30359088658292893,0.15439000894068677
2020-05-20,0.40381251552546554,0.11658357632007496
2020-05-22,0.4655984970771216,0.08285643498636619
2020-05-23,0.3699832048258997,0.127994548269574
2020-05-24,0.29018399219752855,0.14669737267568794
2020-05-25,0.2423437038794818,0.1567978297282299
2020-05-26,0.28326955110798874,0.15538498254290123
2020-05-27,0.39545440620205297,0.11482654205784655
2020-05-28,0.4095582437708063,0.09778171758969
2020-05-29,0.21675875957446122,0.14609904064325635
2020-05-30,0.34707039277376045,0.12605328521444276
2020-05-31,0.280451863602304,0.1638640831590395
2020-06-01,0.22007658064082605,0.1719698138345679
2020-06-03,0.4432423318738882,0.10796791556931054
2020-06-04,0.23761710120566618,0.15955525349332209
2020-06-05,0.2936066562412875,0.15029779677515306
2020-06-06,0.4193628788867478,0.1001446052831497
2020-06-07,0.26824014560743886,0.1599917869561743
2020-06-08,0.319957062556173,0.13277062609610996
2020-06-09,0.36696011148649393,0.0958365977867283
2020-06-10,0.43559482170398867,0.0950204445860586
2020-06-11,0.3486882188488437,0.13401158175680677
2020-06-12,0.49241225025186486,0.0782633587737912
2020-06-13,0.36373462822154273,0.1348373670605413
2020-06-14,0.34576671200423675,0.13695873411441695
2020-06-15,0.4519005092998386,0.09286221277203113
2020-06-17,0.40927959368095895,0.13269041613134994
2020-06-19,0.435783070241128,0.07162347956482326
2020-06-20,0.2182687847053524,0.17534082128299563
